201,鳥取市安蔵森林公園,とっとりしあんぞうしんりんこうえん,48257507,12743628,1
202,弥留気地蔵,やるきじぞう,48257530,12718140,0
203,JAいなば燃料センター浜村SS,じぇいえーいなばねんりょうせんたーはまむらえすえす,48257533,12781678,31
208,譲伝寺,じょうでんじ,48258214,12764564,0
209,長安寺,ちょうあんじ,48258257,12771056,0
210,コスモ石油浜村温泉ＳＳ,こすもせきゆはまむらおんせんえすえす,48257852,12782204,5
213,気高消防署,けたかしょうぼうしょ,48258272,12779489,0
216,国民宿舎山紫苑,こくみんしゅくしゃさんしえん,48258727,12768758,32
217,龍吟閣旅館たつもと,りゅうぎんかくりょかんたつもと,48258771,12782566,0
220,浜村郵便局,はまむらゆうびんきょく,48258809,12782403,0
221,鹿野温泉,しかのおんせん,48258969,12768679,128
222,浜村(交差点),はまむら(こうさてん),48258998,12785343,0
228,鳥取医療生協鹿野温泉病院,とっとりいりょうせいきょうしかのおんせんびょういん,48259077,12765225,5
229,エネオス浜村海岸SS,えねおすはまむらかいがんえすえす,48259037,12785427,0
230,鳥取銀行浜村支店,とっとりぎんこうはまむらしてん,48259068,12783689,0
232,山陰合同銀行浜村支店,さんいんごうどうぎんこうはまむらしてん,48259112,12782495,0
241,鳥取信用金庫気高支店,とっとりしんようきんこけたかしてん,48259307,12782826,4
242,貝がら荘,かいがらそう,48259331,12783165,0
243,ショッピングセンタージョイス,しょっぴんぐせんたーじょいす,48259334,12784371,0
244,浜乃家,はまのや,48259638,12782399,0
246,高鉢山,たかはちやま,48259309,12728771,0
248,浜村ビューホテル,はまむらびゅーほてる,48259501,12782727,0
251,松泉寺,しょうせんじ,48259991,12767532,0
252,加知弥神社,かちみじんじゃ,48259655,12771125,3
256,浜村温泉,はまむらおんせん,48259872,12782515,24
257,貝がら節祭,かいがらぶしまつり,48259895,12782567,642
259,割烹民宿あぐら,かっぽうみんしゅくあぐら,48259999,12784729,0
260,浜村砂丘公園,はまむらさきゅうこうえん,48260012,12783245,2236
264,鳥取市立勝谷幼稚園,とっとりしりつかつやようちえん,48260185,12771186,0
266,鹿野町B＆G海洋センター,しかのちょうびーあんどじーかいようせんたー,48260211,12765022,0
267,JA鳥取いなば勝谷ふれあい館,じぇいえーとっとりいなばかつや,48260305,12771039,2
268,鹿野町B＆G海洋センタープール,しかのちょうびーあんどじーかいようせんたーぷーる,48260315,12765027,0
270,竹森石油,たけもりせきゆ,48260383,12769955,0
271,たばこや旅館,たばこやりょかん,48260416,12782607,0
273,浜村温泉館気多の湯,はまむらおんせん『けたのゆ』,48260814,12783039,21
274,浜村川,はまむらがわ,48260496,12777350,0
277,浜村温泉地引網祭,はまむらおんせんじびきあみさい,48258101,12785497,497
278,浜村温泉海水浴場,はまむらおんせんかいすいよくじょう,48258099,12785515,6
279,勝谷街道,かつやかいどう,48260608,12768118,545
281,気高町民体育館,けたかちょうみんたいいくかん,48260749,12782611,0
284,山陰合同銀行気高町役場,さんいんごうどうぎんこうけたかちょうやくば,48260909,12783492,0
285,鳥取銀行気高町役場,とっとりぎんこうけたかちょうやくば,48260918,12783500,0
286,鳥取市気高総合支所,とっとりしけたかそうごうししょ,48260982,12783467,2
289,鳥取市立鹿野小学校,とっとりしりつしかのしょうがっこう,48261160,12764498,11
291,気高町農業者トレーニングセンター,けたかちょうのうぎょうしゃとれーにんぐせんたー,48261279,12782955,1
294,温泉館ホットピア鹿野,おんせんかんほっとぴあしかの,48261536,12766102,4
296,安蔵公園テニス場,あぞうこうえんてにすじょう,48261771,12744120,0
298,安蔵公園,あぞうこうえん,48262103,12744252,2229
300,コスモ石油浜本石油店海岸給油所,こすもせきゆはまもとせきゆてんかいがんきゅうゆじょ,48262146,12785532,0
302,浜村東(交差点),はまむらひがし(こうさてん),48261941,12785581,3
305,鳥取市鹿野町総合支所,とっとりししかのちょうそうごうししょ,48262702,12766052,34
307,鹿野菅笠,しかのすげがさ,48262692,12766055,358
308,鹿野そば,しかのそば,48262293,12766023,764
